time,temperature,setpoint
2024-06-29 22:36:58.789282,21.50,24.0
2024-06-29 22:37:03.796713,21.50,24.0
2024-06-29 22:37:08.804629,22.25,24.0
2024-06-29 22:37:13.811984,22.75,24.0
2024-06-29 22:37:18.819531,21.75,24.0
2024-06-29 22:37:23.827113,22.75,24.0
2024-06-29 22:37:28.834891,23.00,24.0
2024-06-29 22:37:33.842252,21.50,24.0
2024-06-29 22:37:38.849602,22.75,24.0
2024-06-29 22:37:43.857462,22.00,24.0
2024-06-29 22:37:48.864884,21.75,24.0
2024-06-29 22:37:53.872583,22.50,24.0
2024-06-29 22:37:58.879789,21.75,24.0
2024-06-29 22:38:03.887327,23.00,24.0
2024-06-29 22:38:08.894943,22.00,24.0
2024-06-29 22:38:13.902589,23.25,24.0
2024-06-29 22:38:18.910319,22.75,24.0
2024-06-29 22:38:23.918019,22.75,24.0
2024-06-29 22:38:28.925307,23.75,24.0
2024-06-29 22:38:33.932751,22.75,24.0
2024-06-29 22:38:38.940513,22.75,24.0
2024-06-29 22:38:43.947870,21.50,24.0
2024-06-29 22:38:48.955293,22.50,24.0
2024-06-29 22:38:53.963128,22.00,24.0
2024-06-29 22:38:58.970404,22.25,24.0
2024-06-29 22:39:03.978263,23.50,24.0
2024-06-29 22:39:08.985794,21.75,24.0
2024-06-29 22:39:13.993187,22.50,24.0
2024-06-29 22:39:19.000979,22.75,24.0
2024-06-29 22:39:24.008249,22.50,24.0
2024-06-29 22:39:29.015908,23.25,24.0
2024-06-29 22:39:34.023306,23.00,24.0
2024-06-29 22:39:39.031194,22.75,24.0
2024-06-29 22:39:44.038748,23.25,24.0
2024-06-29 22:39:49.046121,23.00,24.0
2024-06-29 22:39:54.053797,22.00,24.0
2024-06-29 22:39:59.061178,24.25,24.0
2024-06-29 22:40:04.068761,24.00,24.0
2024-06-29 22:40:09.076073,23.75,24.0
2024-06-29 22:40:14.083468,25.00,24.0
2024-06-29 22:40:19.091351,23.50,24.0
2024-06-29 22:40:24.098840,25.00,24.0
2024-06-29 22:40:29.106117,23.50,24.0
