time,temperature,setpoint
2024-06-29 23:09:27.716014,23.50,24.0
2024-06-29 23:09:32.723634,23.75,24.0
2024-06-29 23:09:37.731205,25.25,24.0
2024-06-29 23:09:42.738930,23.00,24.0
2024-06-29 23:09:47.746258,24.75,24.0
2024-06-29 23:09:52.753830,24.75,24.0
2024-06-29 23:09:57.761270,24.50,24.0
2024-06-29 23:10:02.769081,24.25,24.0
2024-06-29 23:10:07.776375,24.75,24.0
2024-06-29 23:10:12.783650,24.75,24.0
2024-06-29 23:10:17.791344,23.25,24.0
2024-06-29 23:10:22.799075,24.50,24.0
2024-06-29 23:10:27.806616,24.25,24.0
2024-06-29 23:10:32.814205,23.50,24.0
2024-06-29 23:10:37.821939,24.75,24.0
2024-06-29 23:10:42.829005,23.25,24.0
2024-06-29 23:10:47.836622,24.25,24.0
2024-06-29 23:10:52.844285,24.50,24.0
2024-06-29 23:10:57.851718,24.00,24.0
2024-06-29 23:11:02.859366,23.75,24.0
2024-06-29 23:11:07.867155,25.25,24.0
2024-06-29 23:11:12.874443,24.25,24.0
2024-06-29 23:11:17.881863,22.50,24.0
2024-06-29 23:11:22.889495,24.75,24.0
2024-06-29 23:11:27.896959,24.25,24.0
2024-06-29 23:11:32.904776,23.25,24.0
2024-06-29 23:11:37.912282,25.00,24.0
2024-06-29 23:11:42.919530,24.25,24.0
2024-06-29 23:11:47.926956,24.50,24.0
2024-06-29 23:11:52.934851,24.00,24.0
2024-06-29 23:11:57.941973,24.50,24.0
2024-06-29 23:12:02.949701,24.00,24.0
2024-06-29 23:12:07.956964,24.00,24.0
2024-06-29 23:12:12.964360,24.75,24.0
2024-06-29 23:12:17.972179,24.00,24.0
2024-06-29 23:12:22.979573,23.75,24.0
2024-06-29 23:12:27.987141,24.75,24.0
2024-06-29 23:12:32.994610,23.25,24.0
2024-06-29 23:12:38.002509,24.50,24.0
2024-06-29 23:12:43.010026,23.25,24.0
2024-06-29 23:12:48.017448,24.50,24.0
2024-06-29 23:12:53.024741,23.25,24.0
2024-06-29 23:12:58.032637,25.00,24.0
2024-06-29 23:13:03.039978,23.75,24.0
2024-06-29 23:13:08.047525,23.50,24.0
2024-06-29 23:13:13.054908,24.75,24.0
2024-06-29 23:13:18.062776,24.75,24.0
2024-06-29 23:13:23.070330,23.25,24.0
2024-06-29 23:13:28.077705,24.00,24.0
2024-06-29 23:13:33.085350,24.75,24.0
2024-06-29 23:13:38.092751,23.00,24.0
2024-06-29 23:13:43.100532,24.25,24.0
2024-06-29 23:13:48.107663,24.00,24.0
2024-06-29 23:13:53.115446,24.50,24.0
2024-06-29 23:13:58.122722,24.00,24.0
2024-06-29 23:14:03.130785,23.50,24.0
2024-06-29 23:14:08.137874,24.75,24.0
2024-06-29 23:14:13.145644,24.50,24.0
2024-06-29 23:14:18.153268,23.75,24.0
2024-06-29 23:14:23.160805,24.25,24.0
2024-06-29 23:14:28.168108,24.75,24.0
2024-06-29 23:14:33.175656,23.50,24.0
2024-06-29 23:14:38.183433,25.00,24.0
2024-06-29 23:14:43.191129,23.75,24.0
2024-06-29 23:14:48.198664,25.50,24.0
2024-06-29 23:14:53.205781,24.00,24.0
2024-06-29 23:14:58.213256,24.50,24.0
2024-06-29 23:15:03.220901,23.75,24.0
2024-06-29 23:15:08.228291,25.00,24.0
2024-06-29 23:15:13.235893,23.75,24.0
2024-06-29 23:15:18.243736,23.75,24.0
2024-06-29 23:15:23.251300,25.00,24.0
2024-06-29 23:15:28.258775,23.25,24.0
2024-06-29 23:15:33.266393,24.50,24.25
2024-06-29 23:15:38.273896,23.75,24.25
2024-06-29 23:15:43.281429,23.50,24.25
2024-06-29 23:15:48.288966,24.75,24.25
2024-06-29 23:15:53.296673,23.50,24.25
2024-06-29 23:15:58.304345,25.00,24.25
2024-06-29 23:16:03.311639,24.50,24.25
2024-06-29 23:16:08.319192,24.50,24.25
2024-06-29 23:16:13.326846,23.75,24.25
2024-06-29 23:16:18.334306,24.50,24.25
2024-06-29 23:16:23.342019,24.50,24.25
2024-06-29 23:16:28.349634,23.75,24.25
2024-06-29 23:16:33.356965,23.50,24.25
2024-06-29 23:16:38.364717,23.75,24.25
2024-06-29 23:16:43.372192,23.75,24.25
2024-06-29 23:16:48.379816,23.75,24.25
2024-06-29 23:16:53.387361,24.25,24.25
2024-06-29 23:16:58.395223,24.00,24.25
2024-06-29 23:17:03.402397,24.00,24.25
2024-06-29 23:17:08.410294,24.75,24.25
2024-06-29 23:17:13.417543,24.00,24.25
2024-06-29 23:17:18.425122,24.00,24.25
2024-06-29 23:17:23.432545,24.50,24.25
